timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736528065494,1124,Login,200,OK,Thread Group 1-3,text,true,,4942,538,6,6,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1114,0,690
1736528064898,2012,Login,200,OK,Thread Group 1-1,text,true,,4934,538,7,7,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2012,0,992
1736528066158,1101,Login,200,OK,Thread Group 1-5,text,true,,4935,538,8,8,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1101,0,704
1736528066494,1072,Login,200,OK,Thread Group 1-6,text,true,,4952,538,9,9,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1072,0,685
1736528065888,1749,Login,200,OK,Thread Group 1-4,text,true,,4940,538,9,9,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1749,0,651
1736528066822,1078,Login,200,OK,Thread Group 1-7,text,true,,4946,538,10,10,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1077,0,690
1736528067820,1460,Login,200,OK,Thread Group 1-10,text,true,,4935,538,14,14,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1460,0,1071
1736528065156,4539,Login,200,OK,Thread Group 1-2,text,true,,4929,538,15,15,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4539,0,1792
1736528067490,3093,Login,200,OK,Thread Group 1-9,text,true,,4941,538,18,18,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,3093,0,700
1736528068485,2234,Login,200,OK,Thread Group 1-12,text,true,,4931,538,18,18,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2234,0,1439
1736528069482,1439,Login,200,OK,Thread Group 1-15,text,true,,4954,538,19,19,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1439,0,702
1736528070163,3030,Login,200,OK,Thread Group 1-17,text,true,,4924,538,26,26,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,3030,0,1672
1736528069160,4692,Login,200,OK,Thread Group 1-14,text,true,,4943,538,28,28,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4692,0,3010
1736528073150,1074,Login,200,OK,Thread Group 1-26,text,true,,4944,538,29,29,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1074,0,693
1736528073486,1077,Login,200,OK,Thread Group 1-27,text,true,,4933,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1077,0,683
1736528068153,6676,Login,200,OK,Thread Group 1-11,text,false,"The operation lasted too long: It took 6,676 milliseconds, but should not have lasted longer than 5,000 milliseconds.",4952,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,6676,0,1419
1736528071155,3984,Login,200,OK,Thread Group 1-20,text,true,,4951,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,3984,0,3350
1736528071485,4090,Login,200,OK,Thread Group 1-21,text,true,,4954,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4090,0,1679
1736528073816,2354,Login,200,OK,Thread Group 1-28,text,true,,4941,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2354,0,691
1736528070816,5354,Login,200,OK,Thread Group 1-19,text,false,"The operation lasted too long: It took 5,354 milliseconds, but should not have lasted longer than 5,000 milliseconds.",4934,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,5354,0,4326
1736528072151,4726,Login,200,OK,Thread Group 1-23,text,true,,4936,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4726,0,686
1736528074483,2457,Login,200,OK,Thread Group 1-30,text,true,,4949,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2456,0,686
1736528074150,3152,Login,200,OK,Thread Group 1-29,text,true,,4936,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,3152,0,1716
1736528067160,10142,Login,200,OK,Thread Group 1-8,text,false,"The operation lasted too long: It took 10,142 milliseconds, but should not have lasted longer than 5,000 milliseconds.",4933,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,10142,0,4951
1736528072484,4819,Login,200,OK,Thread Group 1-24,text,true,,4933,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4818,0,2717
1736528070487,7925,Login,200,OK,Thread Group 1-18,text,false,"The operation lasted too long: It took 7,925 milliseconds, but should not have lasted longer than 5,000 milliseconds.",4936,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,7925,0,683
1736528068819,11166,Login,200,OK,Thread Group 1-13,text,false,"The operation lasted too long: It took 11,166 milliseconds, but should not have lasted longer than 5,000 milliseconds.",4950,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,11166,0,754
1736528069814,11403,Login,200,OK,Thread Group 1-16,text,false,"The operation lasted too long: It took 11,403 milliseconds, but should not have lasted longer than 5,000 milliseconds.",4930,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,11403,0,9346
1736528072821,11412,Login,200,OK,Thread Group 1-25,text,false,"The operation lasted too long: It took 11,412 milliseconds, but should not have lasted longer than 5,000 milliseconds.",4928,538,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,11412,0,1684
1736528083540,778,Validate,200,OK,Thread Group 1-1,text,true,,6923,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,382,0,0
1736528083540,382,Validate-0,302,Found,Thread Group 1-1,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,382,0,0
1736528083924,394,Validate-1,200,OK,Thread Group 1-1,text,true,,4967,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,394,0,0
1736528084265,833,Validate,200,OK,Thread Group 1-4,text,true,,6920,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,394,0,0
1736528084265,394,Validate-0,302,Found,Thread Group 1-4,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,394,0,0
1736528084660,438,Validate-1,200,OK,Thread Group 1-4,text,true,,4964,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,438,0,0
1736528083891,2459,Validate,200,OK,Thread Group 1-5,text,true,,6921,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,394,0,0
1736528083891,395,Validate-0,302,Found,Thread Group 1-5,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,394,0,0
1736528084286,2064,Validate-1,200,OK,Thread Group 1-5,text,true,,4965,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,2064,0,0
1736528086321,898,Validate,200,OK,Thread Group 1-2,text,true,,6919,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,502,0,0
1736528086321,503,Validate-0,302,Found,Thread Group 1-2,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,502,0,0
1736528086824,395,Validate-1,200,OK,Thread Group 1-2,text,true,,4963,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,395,0,0
1736528087544,828,Validate,200,OK,Thread Group 1-15,text,true,,6935,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,419,0,0
1736528087544,419,Validate-0,302,Found,Thread Group 1-15,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,419,0,0
1736528087964,408,Validate-1,200,OK,Thread Group 1-15,text,true,,4979,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,408,0,0
1736528085907,2745,Validate,200,OK,Thread Group 1-10,text,true,,6924,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1412,0,0
1736528085907,1412,Validate-0,302,Found,Thread Group 1-10,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,1412,0,0
1736528087320,1332,Validate-1,200,OK,Thread Group 1-10,text,true,,4968,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1332,0,0
1736528084196,4762,Validate,200,OK,Thread Group 1-6,text,true,,6939,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,384,0,0
1736528084196,384,Validate-0,302,Found,Thread Group 1-6,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,384,0,0
1736528084581,4377,Validate-1,200,OK,Thread Group 1-6,text,true,,4983,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4376,0,0
1736528083309,5667,Validate,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 5,667 milliseconds, but should not have lasted longer than 5,000 milliseconds.",6948,1413,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1422,0,0
1736528083309,1422,Validate-0,302,Found,Thread Group 1-3,text,true,,1956,829,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,1422,0,0
1736528084732,4244,Validate-1,200,OK,Thread Group 1-3,text,true,,4992,584,30,30,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,4244,0,0
